title,artist,year,genre
Down Among the Sugar Cane,Arthur Collins & Byron G Harlan,1909.0,pop
Beautiful Eyes,Ada Jones,1909.0,pop
"I Love, I Love, I Love My Wife, but Oh You Kid!",Arthur Collins,1909.0,pop
Pony Boy,Ada Jones,1909.0,pop
I Remember You,Ada Jones,1909.0,pop
Honey On Our Honeymoon,Henry Burr,1909.0,pop
I Wish I Had A Girl,Billy Murray,1909.0,pop
She is my Daisy,Harry Lauder,1909.0,pop
In the Garden of My Heart,Frank Stanley & Henry Burr,1909.0,pop
"Nobody Knows, Nobody Cares",Will Oakland,1909.0,pop
"Shine on, Harvest Moon",Frank Stanley & Henry Burr,1909.0,pop
O Gondoleiro do Amor,Mario Pinheiro,1909.0,pop
Bring Me a Rose,Phylis Dare,1909.0,pop
The Jocular Joker,G H Chirgwin,1909.0,pop
"Brown Eyes, Good-Bye",Haydn Quartet,1909.0,pop
That Wasn't All!,Ralph Herz,1909.0,pop
Pony Boy,Peerless Quartet,1909.0,pop
El Capitan March (new version),Sousa's Band,1909.0,pop
I'm Awfully Glad I Met You,Ada Jones & Billy Murray,1909.0,pop
Beautiful Isle of Somewhere,Harold Jarvis,1909.0,pop
"Up, Up, Up in My Aeroplane",Haydn Quartet,1909.0,pop
When I Dream in the Gloaming of You,Walter Van Brunt,1909.0,pop
That's a Plenty,Arthur Collins,1909.0,pop
Under the Double Eagle,Sousa's Band,1909.0,pop
"Dixie Land, I Love You",Billy Murray,1909.0,pop
Let Me Call You Sweetheart,Peerless Quartet,1910.0,pop
America the Beautiful,Louise Homer,1910.0,pop
By the Light of the Silvery Moon,Billy Murray & Haydn Quartet,1910.0,pop
Play That Barber-Shop Chord,Bert Williams,1910.0,pop
Don't Go Down The Mine,Stanley Kirby,1910.0,pop
Cancao do Marinheiro (Cisne Branco),Eduardo das Neves,1910.0,pop
Has Anybody Here Seen Kelly?,Nora Bayes,1910.0,pop
Carrie (Carrie Marry Harry),Billy Murray,1910.0,pop
Where the River Shannon Flows,Harry MacDonough,1910.0,pop
Meet Me To-Night in Dreamland,Henry Burr,1910.0,pop
Every Little Movement,Harry MacDonough & Lucy Isabelle Marsh,1910.0,pop
Call Me Up Some Rainy Afternoon,American Quartet,1910.0,pop
"Tramp, Tramp, Tramp (The Boys Are Marching)",Frank Stanley & Byron G Harlan,1910.0,pop
In the Valley of Yesterday,Harry MacDonough,1910.0,pop
Casey Jones,Billy Murray & American Quartet,1910.0,pop
Carmen - Air De La Fleur (Flower Song),Enrico Caruso,1910.0,pop
Humoresque Boogie,Mischa Elman,1910.0,pop
Ave Maria,Frances Alda,1910.0,pop
Il Trovatore - Miserere (I Have Sighed to Rest Me),Enrico Caruso & Frances Alda,1910.0,pop
"Contes D' Hoffman - Barcolle Belle Nuit (Oh, Night of Love)",Geraldine Farrar & Antonio Scotti,1910.0,pop
I'll Lend You Everything I've Got Except My Wife,Bert Williams,1910.0,pop
Old Kentucky Home,Geraldine Farrar,1910.0,pop
Tony From America,Columbia Light Opera Company,1910.0,pop
Ao Luar,Banda da Casa Edison,1910.0,pop
Silver Bell,Peerless Quartet,1910.0,pop
That Mesmerizing Mendelssohn Tune,Arthur Collins & Byron G Harlan,1910.0,pop
My Hero,Lucy Isabelle Marsh,1910.0,pop
I'll Make a Ring Around Rosie,Haydn Quartet,1910.0,pop
By the Light of the Silvery Moon,Ada Jones,1910.0,pop
It's Hard to Kiss Your Sweetheart (When the Last Kiss Means Good-Bye),Walter Van Brunt,1910.0,pop
What's the Matter with Father?,Billy Murray,1910.0,pop
You Ain't Talking to Me,Eddie Morton,1910.0,pop
Constantly,Bert Williams,1910.0,pop
Play That Barber-Shop Chord,American Quartet,1910.0,pop
All I Ask Is Your Love,Henry Burr,1910.0,pop
By the Light of the Silvery Moon,Peerless Quartet,1910.0,pop
"Go, Emaline",Ada Jones & Billy Murray,1910.0,pop
Ginger You're Barmy,Harry Champion,1910.0,pop
O Palida Madona,Mario Pinheiro,1910.0,pop
Molly O'Morgan,Ella Retford,1910.0,pop
Some of These Days,Sophie Tucker,1911.0,pop
Alexander's ragtime band,Arthur Collins & Byron G Harlan,1911.0,pop
"Come, Josephine, in My Flying Machine",Ada Jones & Billy Murray,1911.0,pop
"I'm Shy Mary Ellen, I'm Shy",Jack Pleasants,1911.0,pop
O Meu Boi Morreu,Eduardo das Neves,1911.0,pop
Turn Your Light Off Mister Moon Man,Nora Bayes & Jack Norworth,1911.0,pop
Let Me Stay & Live in Dixieland,Charles King & Elizabeth Brice,1911.0,pop
Put Your Arms Around Me Honey,Arthur Collins & Byron G Harlan,1911.0,pop
"Come, Josephine, in My Flying Machine",Blanche Ring,1911.0,pop
I'm Falling in Love with Someone,John McCormack,1911.0,pop
Down by the Old Mill Stream,Arthur Clough,1911.0,pop
Oh You Beautiful Doll,American Quartet,1911.0,pop
Mother Machree,John McCormack,1911.0,pop
Under the Yum Yum Tree,Arthur Collins & Byron G Harlan,1911.0,pop
Mother Machree,Will Oakland,1911.0,pop
Down by the Old Mill Stream,Harry MacDonough,1911.0,pop
I Love The Name of Mary,Will Oakland,1911.0,pop
Addio (Good-Bye),Enrico Caruso,1911.0,pop
"Life's a Funny Proposition, After All",George M Cohan,1911.0,pop
The Photo of The Girl I Left Behind,Billy Merson,1911.0,pop
