title,artist,year,genre
A Little Bird Told Me,Smokey Rogers,1949.0,country
Boomerang,Arthur Guitar Boogie Smith,1949.0,country
Gamblin' Polka Dot Blues,Tommy Duncan,1949.0,country
One Has My Name the Other Has My Heart,Bob Eberly,1949.0,country
I Wish I Knew,Dolph Hewitt,1949.0,country
Jealous Heart,Al Morgan,1949.0,country
Tennessee Border,Bob Atcher,1949.0,country
I'll Still Write Your Name In The Sand,Buddy Starcher,1949.0,country
There's No Wings on My Angel,Eddy Arnold,1949.0,country
Hadacol Boogie,Bill Nettles,1949.0,country
Steel Guitar Ramble,Cecil Campbell's Tennessee Ramblers,1949.0,country
Someday You'll Call My Name,Jimmy Wakely,1949.0,country
My Tennessee Baby,Ernest Tubb,1949.0,country
"Money, Marbles And Chalk",Patti Page,1949.0,country
Many Tears Ago,"Eddy Arnold, The Tennessee Plowboy and His Guitar",1949.0,country
Before You Call,Dave Landers,1949.0,country
My Heart's Bouquet,Little Jimmy Dickens,1949.0,country
What Are We Gonna Do About the Moonlight,Hank Thompson,1949.0,country
Soft Lips,Hank Thompson,1949.0,country
Marriage Vow,Hank Snow,1949.0,country
Forever More,Jimmy Wakely,1949.0,country
I'm Throwing Rice (At The Girl I Love),Red Foley,1949.0,country
(There's a) Bluebird on Your Window Sill,Tex Williams,1949.0,country
Tennessee Boogie,Zeb Turner,1949.0,country
All I Need Is Some More Lovin',George Morgan,1949.0,country
Lost Highway,Hank Williams,1949.0,country
I Heard About You,Bud Hobbs with His Trail Herders,1949.0,country
Tennessee Tears,Pee Wee King and His Golden West Cowboys,1949.0,country
Toy Heart,Bill Monroe and His Blue Grass Boys,1949.0,country
Mansion On The Hill,Hank Williams with His Drifting Cowboys,1949.0,country
Pennies For Papa,Jimmie Dickens,1949.0,country
The Sister of Sioux City Sue,Dick Thomas,1949.0,country
"Money, Marbles And Chalk",Stubby & The Buccaneers,1949.0,country
My Best To You,Sons Of The Pioneers,1949.0,country
I'm Waltzing With Tears In My Eyes,Cowboy Copas,1949.0,country
When You Are Lonely,Bill Monroe and His Blue Grass Boys,1949.0,country
Double Talkin' Woman,Earl Nunn and His Alabama Ramblers featuring Billy Lee,1949.0,country
What A Shame,Merle Travis,1949.0,country
The Iron Range,Frankie Yankovic & His Yanks,1949.0,country
Hangman's Boogie,Cowboy Copas,1949.0,country
Tellin' My Troubles To My Old Guitar,Jimmy Wakely,1949.0,country
Afraid,Rex Allen and The Arizona Wranglers with Jerry Byrd,1949.0,country
Chattanoogie Shoe Shine Boy,Red Foley,1950.0,country
The Tennessee Waltz,Patti Page,1950.0,country
Birmingham Bounce,Red Foley,1950.0,country
I'll Sail My Ship Alone,Moon Mullican,1950.0,country
Why Don't You Love Me,Hank Williams,1950.0,country
I'm Moving On,Hank Snow,1950.0,country
Rag Mop,Johnnie Lee Wills,1950.0,country
Long Gone Lonesome Blues,Hank Williams,1950.0,country
I'll Never Be Free,Kay Starr & Tennessee Ernie,1950.0,country
(Remember Me) I'm The One Who Loves You,Stuart Hamblen,1950.0,country
If You've Got The Money I've Got The Time,Lefty Frizzell,1950.0,country
Mississippi,Red Foley with The Dixie Dons,1950.0,country
Cincinnati Dancing Pig,Red Foley,1950.0,country
Take Me in Your Arms and Hold Me,Eddy Arnold,1950.0,country
The Cry Of The Wild Goose,Tennessee Ernie,1950.0,country
Moanin' the Blues,Hank Williams,1950.0,country
Let's Go to Church (Next Sunday Morning),Margaret Whiting and Jimmy Wakely,1950.0,country
Broken Down Merry-Go-Round,Margaret Whiting and Jimmy Wakely,1950.0,country
The Lovebug Itch,Eddy Arnold,1950.0,country
Tennessee Border No. 2,Ernest Tubb & Red Foley,1950.0,country
Cuddle Buggin' Baby,Eddy Arnold,1950.0,country
Frosty The Snow Man,Gene Autry,1950.0,country
The Gods Were Angry with Me,Margaret Whiting and Jimmy Wakely,1950.0,country
Letters Have No Arms,Ernest Tubb,1950.0,country
Goodnight Irene,Moon Mullican,1950.0,country
"Rudolph, the Red-Nosed Reindeer",Gene Autry,1950.0,country
Sugarfoot Rag,Red Foley,1950.0,country
Throw Your Love My Way,Ernest Tubb,1950.0,country
Ain't Nobody's Business But My Own,Kay Starr & Tennessee Ernie,1950.0,country
Blues Stay Away From Me,Delmore Brothers,1950.0,country
A Bushel and a Peck,Margaret Whiting and Jimmy Wakely,1950.0,country
Sunday Down In Tennessee,Red Foley,1950.0,country
Why Should I Cry?,Eddy Arnold,1950.0,country
Hillbilly Fever,Little Jimmy Dickens,1950.0,country
Quicksilver,Elton Britt and Rosalie Allen,1950.0,country
Little Angel with the Dirty Face,Eddy Arnold,1950.0,country
I Love You Because,Clyde Moody,1950.0,country
(I Won't Go Huntin' Jake) But I'll Go Chasing Women,Stuart Hamblen,1950.0,country
Peter Cottontail,Gene Autry,1950.0,country
Bloodshot Eyes,Hank Penny,1950.0,country
(Remember Me) I'm The One Who Loves You,Ernest Tubb,1950.0,country
Our Lady Of Fatima,Red Foley,1950.0,country
They'll Never Take Her Love from Me,Hank Williams,1950.0,country
I Just Don't Like This Kind of Living,Hank Williams,1950.0,country
"Enclosed, One Broken Heart",Eddy Arnold,1950.0,country
Mama and Daddy Broke My Heart,Eddy Arnold,1950.0,country
A-Sleeping At The Foot Of The Bed,Little Jimmy Dickens,1950.0,country
Daddy's Last Letter,Tex Ritter,1950.0,country
There's No Wings On My Angel,"Eddy Arnold, The Tennessee Plowboy and His Guitar",1950.0,country
Slippin' Around with Jole Blon,Bud Messner,1950.0,country
Choc'late Ice Cream Cone,Kenny Roberts,1950.0,country
Lose Your Blues,Red Kirk,1950.0,country
Don't Be Ashamed Of Your Age,Ernest Tubb & Red Foley,1950.0,country
Pan American Boogie,Delmore Brothers,1950.0,country
Mona Lisa,Jimmy Wakely,1950.0,country
Cry of the Dying Duck in a Thunderstorm,Cactus Pryor,1950.0,country
I Gotta Have My Baby Back,Floyd Tillman,1950.0,country
Faded Love,Bob Wills and His Texas Playboys,1950.0,country
Beyond the Sunset,The Three Suns with Rosalie Allen & Elton Brit,1950.0,country
Unfaithful One,Ernest Tubb,1950.0,country
Stampede,Roy Rogers,1950.0,country
